0xd3fea03d9690f0134b67243439d10cbf1fb2913b,1
0x43d7948ef338e67de609723b6b575724fac8ea74,82
0x026403ff2a1396d8d93864ca6ee6981a117aa9f1,6
0x140558dd7c4b58b7fa9978cf268ad2f02484d8ec,1
0x8e8665be566a0953bbedaca5d6261f2f33113ff1,1
0xf24ea6adb290e4a3f5d0c5da53d328e78dff2789,1
0x6cea1565c64c73e1252fb11dae5d8d8989cc7e29,3
0x4e0e76fea7f4c697947c870eefc3e026a0547139,1
0xcb1ce445d01d0bcd07236a77c895e09c3abe3b34,3
0xc6ab6cefeba2f1a135543f14b1ab73710e002a68,1
0x016ab691721a99da1c1489ca0ac8b549eb0f7713,5
0xf3d9281fa183b74f32b96e1c5244596045f4ede8,4
0x52fe45878f03ea2fd4dde458313a1207efb95944,1
0xbd67e827ec6051d60c0d50e7c6c6965db5910c80,2
0x8a2ab4edfee29693cd155eb233543c15b6cffdbf,76
0x71efa356038b6c09cfc5be9f749ddd85a069cada,1
0xfea6ed4e178b625bde2b4ab24e7717cbb5134728,1
0xe481e12e6b6e8c1d013874327aed2b870d6d1413,1
0x45f037560374a81c1efa077674406e2ac5175fa1,31
0x429842b2c529e92007e27866eb372f26a8728426,100
0xece01bf17ecc69d2d88b1a84db32f9b9c7bf6292,1
0xf87acaa7c2446ff1bd45827f55f7f75104ab8614,46
0x98a8b03cee14b8e58e1841e54ae4d0aa457ec687,5
0x47888d77cde1985ff382bf2317167ce9997057c1,1
0x10d6e12f9c54fdb2d6e003a4c58d3faf8a29a941,1
0xa84410a90214e2217e957c85690d4133912d81c1,67
0xcf2d4fcabc3d2e11447780a9599be211a5d2cd3b,2
0x491b2aa6118cdb4141b9645b134c8f3d8f65bb51,2
0xff9b563140952fb7e3e5552f1a5068b637f0de0a,1
0x78c9c8795de30869847559da7d578e4f4c436623,3
0x3e5497bd367979d7f71fa563f278238ac102890e,1
0xce64da4caf4c7d5a65c74fbacb16e170d300285d,2
